race_id,course_type,distance,weather,condition,year,month,day,rank,waku,umaban,horse_name,horse_id,jockey,jockey_id,trainer,trainer_id,horse_weight,weight_diff,time,passing,last_3f,odds,popularity
202506010101,dirt,1200,sunny,good,2025,1,5,1,6,11,ピッツァナポリ,2022105247,大野拓弥,01096,新開幸一,01116,460,+2,1:12.2,1-1,37.7,2.5,1
202506010101,dirt,1200,sunny,good,2025,1,5,2,2,3,グリューネベルグ,2022106581,丹内祐次,01091,青木孝文,01156,444,0,1:12.7,7-7,37.4,12.0,6
202506010101,dirt,1200,sunny,good,2025,1,5,3,7,13,ロッキンミー,2022107050,佐藤翔馬,01207,杉浦宏昭,01008,436,0,1:13.0,3-3,38.1,156.0,11
202506010101,dirt,1200,sunny,good,2025,1,5,4,5,10,ルックアトミー,2022103727,菊沢一樹,01161,菊沢隆徳,01115,494,+6,1:13.1,5-5,38.0,2.8,2
202506010101,dirt,1200,sunny,good,2025,1,5,5,6,12,ダイチラポール,2022100076,長浜鴻緒,01214,蛯名利弘,01131,476,+2,1:13.4,2-2,38.7,7.3,3
202506010101,dirt,1200,sunny,good,2025,1,5,6,1,2,ジルクン,2022101022,小林美駒,01206,鈴木慎太,01179,414,+8,1:13.5,13-11,37.0,50.1,7
202506010101,dirt,1200,sunny,good,2025,1,5,7,4,8,セイリオス,2022106350,杉原誠人,01135,宮田敬介,01175,472,+6,1:13.7,9-8,37.8,211.8,14
202506010101,dirt,1200,sunny,good,2025,1,5,8,2,4,タッカーバリアント,2022100105,戸崎圭太,05386,田島俊明,01112,466,+4,1:13.7,5-5,38.7,8.4,4
202506010101,dirt,1200,sunny,good,2025,1,5,9,4,7,コナベイション,2022101692,横山武史,01170,伊藤圭三,01023,460,-4,1:13.8,3-3,39.0,11.6,5
202506010101,dirt,1200,sunny,good,2025,1,5,10,3,5,チャンピオンリボン,2022102964,木幡初也,01153,竹内正洋,01152,422,+8,1:14.0,9-9,38.2,196.9,13
202506010101,dirt,1200,sunny,good,2025,1,5,11,1,1,ショウブダッシュ,2022102642,石神深道,01209,青木孝文,01156,432,0,1:14.2,11-11,38.0,231.3,15
202506010101,dirt,1200,sunny,good,2025,1,5,12,5,9,ビスケットマリー,2022102984,柴田大知,01009,和田雄二,01143,420,-6,1:14.8,15-14,38.0,131.9,10
202506010101,dirt,1200,sunny,good,2025,1,5,13,8,16,カツノトゥウェルヴ,2022101055,松岡正海,01085,伊藤伸一,01031,470,-10,1:15.0,14-14,38.3,73.0,8
202506010101,dirt,1200,sunny,good,2025,1,5,14,7,14,ノアファースト,2022102350,武藤雅,01169,小笠倫弘,01076,454,-10,1:15.0,16-14,38.0,189.5,12
202506010101,dirt,1200,sunny,good,2025,1,5,15,3,6,ニシノティターニア,2022107201,池添謙一,01032,上原博之,00423,424,-14,1:15.2,8-9,39.5,75.8,9
202506010101,dirt,1200,sunny,good,2025,1,5,16,8,15,キャプティバ,2022103312,黛弘人,01109,佐藤吉勝,01035,492,+6,1:15.6,12-13,39.3,556.3,16
202506010102,dirt,1800,sunny,good,2025,1,5,1,3,6,フィーリウス,2022105175,木幡巧也,01162,手塚貴久,01038,492,-6,1:56.1,13-13-5-5,38.7,7.3,3
202506010102,dirt,1800,sunny,good,2025,1,5,2,6,12,ロンパイア,2022103708,戸崎圭太,05386,尾関知人,01103,474,-2,1:56.1,11-11-2-1,39.0,7.5,4
202506010102,dirt,1800,sunny,good,2025,1,5,3,1,2,ブレトワルダ,2022102965,丹内祐次,01091,新開幸一,01116,496,+2,1:56.2,5-5-7-7,38.6,8.2,6
202506010102,dirt,1800,sunny,good,2025,1,5,4,7,14,プロスペクトパーク,2022105548,横山武史,01170,高柳瑞樹,01118,504,+6,1:56.5,3-3-2-2,39.3,7.8,5
202506010102,dirt,1800,sunny,good,2025,1,5,5,7,13,アイオリア,2022104310,横山和生,01140,奥村武,01145,520,+6,1:57.4,5-5-2-2,40.2,2.3,1
202506010102,dirt,1800,sunny,good,2025,1,5,6,8,15,ルシード,2022103592,野中悠太,01158,田島俊明,01112,512,+10,1:57.6,2-2-5-5,40.2,19.8,7
202506010102,dirt,1800,sunny,good,2025,1,5,7,4,8,ギンガエクスプレス,2022106161,長浜鴻緒,01214,加藤士津,01169,532,+4,1:57.7,9-9-11-10,39.5,179.8,11
202506010102,dirt,1800,sunny,good,2025,1,5,8,8,16,バレアリックシー,2022105358,菊沢一樹,01161,菊沢隆徳,01115,480,+6,1:57.7,9-9-10-10,39.6,121.2,10
202506010102,dirt,1800,sunny,good,2025,1,5,9,5,9,シリウスライト,2022101042,石橋脩,01077,和田正一,01114,460,+2,1:58.0,15-15-13-12,39.2,412.8,14
202506010102,dirt,1800,sunny,good,2025,1,5,10,2,4,ヴィジブルライト,2022104860,マーカン,05626,和田正一,01114,486,0,1:58.0,5-5-7-7,40.5,5.2,2
202506010102,dirt,1800,sunny,good,2025,1,5,11,6,11,クラウンジュエル,2022101812,松岡正海,01085,尾関知人,01103,478,-2,1:58.1,14-14-13-12,39.3,336.5,13
