horse_id,sire_id,sire_name,damsire_id,damsire_name
2004102130,1995101767,メイショウオウドウ,000a001a97,Tasso
2006102244,000a0001aa,ジョリーズヘイローJolie's Halo(米),000a000d55,クリエイターCreator(英)
2008101536,1999104198,ノーリーズン,1992109618,フジキセキ
2009105987,1990109700,ホワイトマズルWhite Muzzle(英),000a00033a,サンデーサイレンスSunday Silence(米)
2009106137,1998190004,ファルブラヴFalbrav(愛),000a00033a,サンデーサイレンスSunday Silence(米)
2010100476,2000101634,サイレントディール,000a000013,アフリートAfleet(加)
2010100776,1996110297,ゼンノドラゴン,1987107235,メジロマックイーン
2010100891,1998101457,メジロベイリー,000a000082,ブライアンズタイムBrian's Time(米)
2010102322,1998101683,タイムパラドックス,1998101516,アグネスタキオン
2010103044,1999106738,ローエングリン,1992109450,ジェニュイン
2010103267,1998101786,ジャングルポケット,000a00033a,サンデーサイレンスSunday Silence(米)
2010103626,1999106756,デュランダル,000a001be1,Gone West
2010104968,2001103114,ダイワメジャー,000a001f1d,Septieme Ciel
2010105316,000a011227,フォーティナイナーズサンFourty Niners Son(米),000a000325,スピニングワールドSpinning World(米)
2010105433,1998110135,クロフネ,1993109188,ダンスインザダーク
2011100164,1999106756,デュランダル,1979101459,ホリスキー
2011100175,1997110152,ノボジャック,000a0001aa,ジョリーズヘイローJolie's Halo(米)
2011100185,1996110138,サウスヴィグラス,000a0000b0,コマンダーインチーフCommander in Chief(英)
2011100380,000a000006,トワイニングTwining(米),000a0019b4,Silver Hawk
2011100495,2001103038,ハーツクライ,000a001e82,Mujtahid
2011100605,000a011625,コマンズCommands(豪),000a001c68,Red Ransom
2011101077,2001103460,キングカメハメハ,000a00033a,サンデーサイレンスSunday Silence(米)
2011101167,1994109361,ブラックホーク,1995108742,エルコンドルパサー
2011101177,000a010a10,ロージズインメイRoses in May(米),000a00035e,ティンバーカントリーTimber Country(米)
2011101961,1996110138,サウスヴィグラス,1985109002,アサティスAssatis(米)
2011102104,1997110025,アグネスデジタル,1993109188,ダンスインザダーク
2011102197,1994108729,ステイゴールド,000a0000df,デヒアDehere(米)
2011102278,1998110135,クロフネ,000a00033a,サンデーサイレンスSunday Silence(米)
2011102735,1995103211,スペシャルウィーク,000a002053,Storm Boot
2011102751,1996110297,ゼンノドラゴン,000a0000b0,コマンダーインチーフCommander in Chief(英)
2011102780,2003105250,ホールウォーカー,000a000d73,シャンハイShanghai(米)
2011102864,2004102901,フサイチレオン,000a000013,アフリートAfleet(加)
2011102906,1995104427,キングヘイロー,000a0000c5,ダミスターDamister(米)
2011103142,000a0103b9,ヨハネスブルグJohannesburg(米),1998101516,アグネスタキオン
2011103573,1999106689,ゴールドアリュール,1996100292,テイエムオペラオー
2011104101,1998101554,マンハッタンカフェ,1995108742,エルコンドルパサー
2011104188,2003102205,メイショウサムソン,000a00033a,サンデーサイレンスSunday Silence(米)
2011104203,1989108341,サクラバクシンオー,000a00013a,フレンチデピュティFrench Deputy(米)
