race_id,course_type,distance,weather,condition,year,month,day,rank,waku,umaban,horse_name,horse_id,jockey,jockey_id,trainer,trainer_id,horse_weight,weight_diff,time,passing,last_3f,odds,popularity
202605010101,dirt,1400,sunny,good,2026,1,31,1,1,2,マカイゾウ,2023104053,横山武史,01170,竹内正洋,01152,474,0,1:26.5,1-1,37.7,6.3,4
202605010101,dirt,1400,sunny,good,2026,1,31,2,5,10,クアロアランチ,2023107095,ハマーハ,05676,西田雄一,01187,448,-4,1:26.5,2-2,37.5,4.5,3
202605010101,dirt,1400,sunny,good,2026,1,31,3,5,9,ヨルヴィック,2023107242,キング,05643,稲垣幸雄,01167,452,-8,1:26.9,4-4,37.6,4.0,2
202605010101,dirt,1400,sunny,good,2026,1,31,4,4,8,メビウスロマンス,2023101477,戸崎圭太,05386,矢嶋大樹,01202,460,-4,1:27.2,2-2,38.2,2.3,1
202605010101,dirt,1400,sunny,good,2026,1,31,5,6,11,ジェイドテソーロ,2023106741,柴田大知,01009,千葉直人,01199,436,+12,1:27.4,7-7,37.2,200.7,12
202605010101,dirt,1400,sunny,good,2026,1,31,6,6,12,ラヴィングリー,2023103692,佐々木大,01197,池上昌和,01150,456,+22,1:28.0,7-8,37.7,204.1,13
202605010101,dirt,1400,sunny,good,2026,1,31,7,1,1,ニシノゲッパク,2023106259,松岡正海,01085,伊藤伸一,01031,460,-12,1:28.2,9-9,37.8,77.2,8
202605010101,dirt,1400,sunny,good,2026,1,31,8,8,15,レースクイーン,2023101563,江田照男,00689,蛯名利弘,01131,420,+10,1:28.2,4-5,38.8,78.1,9
202605010101,dirt,1400,sunny,good,2026,1,31,9,2,4,ギンケイ,2023103024,菅原明良,01179,中川公成,01081,458,0,1:28.2,14-13,36.9,30.3,7
202605010101,dirt,1400,sunny,good,2026,1,31,10,2,3,ドルマバフチェ,2023103567,ルメール,05339,千葉直人,01199,422,+4,1:28.8,6-6,38.9,15.2,5
202605010101,dirt,1400,sunny,good,2026,1,31,11,3,5,アンチェーン,2023104668,三浦皇成,01122,嘉藤貴行,01195,520,+2,1:29.4,16-15,37.5,29.1,6
202605010101,dirt,1400,sunny,good,2026,1,31,12,7,13,アサクサダイアナ,2023100532,岩田康誠,05203,田島俊明,01112,448,+10,1:29.4,13-13,38.0,102.2,10
202605010101,dirt,1400,sunny,good,2026,1,31,13,4,7,アルマサーガ,2023101871,上里直汰,01217,中舘英二,01153,394,+4,1:29.6,11-11,38.7,346.5,14
202605010101,dirt,1400,sunny,good,2026,1,31,14,3,6,アイアンロッキー,2023100100,佐藤翔馬,01207,本間忍,01056,448,0,1:30.3,12-12,39.2,444.0,16
