race_id,course_type,distance,weather,condition,year,month,day,rank,waku,umaban,horse_name,horse_id,jockey,jockey_id,trainer,trainer_id,horse_weight,weight_diff,time,passing,last_3f,odds,popularity
201805010101,dirt,1400,sunny,good,2018,1,27,1,3,6,マサノカバーガール,2015100407,石橋脩,01077,小笠倫弘,01076,450,+2,1:28.0,2-2,39.6,22.9,8
201805010101,dirt,1400,sunny,good,2018,1,27,2,1,1,ロジヒューズ,2015100131,内田博幸,00422,古賀慎明,01079,474,+12,1:28.3,1-1,40.0,5.8,4
201805010101,dirt,1400,sunny,good,2018,1,27,3,2,4,レユシット,2015100170,戸崎圭太,05386,矢野英一,01108,456,-2,1:28.3,3-3,39.7,5.6,3
201805010101,dirt,1400,sunny,good,2018,1,27,4,7,13,エリープラネット,2015102564,三浦皇成,01122,天間昭一,01090,424,-2,1:28.3,12-10,38.9,8.7,5
201805010101,dirt,1400,sunny,good,2018,1,27,5,6,11,サイモンジルバ,2015103377,大野拓弥,01096,根本康広,01029,460,0,1:28.8,11-10,39.4,9.1,6
201805010101,dirt,1400,sunny,good,2018,1,27,6,8,16,パリスハート,2015104626,吉田隼人,01095,小笠倫弘,01076,448,-12,1:28.8,6-5,40.0,3.5,1
201805010101,dirt,1400,sunny,good,2018,1,27,7,5,10,アネラ,2015106443,北村宏司,01043,高橋義博,01036,436,-12,1:29.0,10-9,39.8,53.8,9
201805010101,dirt,1400,sunny,good,2018,1,27,8,4,8,セントオブウーマン,2015101865,武藤雅,01169,水野貴広,01094,410,-4,1:29.9,3-5,41.1,22.0,7
201805010101,dirt,1400,sunny,good,2018,1,27,9,8,15,ゼットイーリス,2015105173,柴田大知,01009,伊藤大士,01109,466,-2,1:30.4,8-12,40.9,4.0,2
201805010101,dirt,1400,sunny,good,2018,1,27,10,2,3,ホリーセクション,2015106161,嘉藤貴行,01051,田中清隆,00408,412,0,1:30.4,13-13,40.3,108.5,10
201805010101,dirt,1400,sunny,good,2018,1,27,11,4,7,チョウヨウ,2015100794,丹内祐次,01091,小桧山悟,01005,446,0,1:30.4,8-7,41.3,169.9,13
201805010101,dirt,1400,sunny,good,2018,1,27,12,7,14,サクラトップライフ,2015105943,西田雄一,01004,武市康男,01089,452,+10,1:30.9,6-7,41.9,155.9,11
201805010101,dirt,1400,sunny,good,2018,1,27,13,1,2,カシノリヤン,2015103132,二本柳壮,01049,二本柳俊,00370,462,-2,1:31.4,16-16,39.7,338.7,16
201805010101,dirt,1400,sunny,good,2018,1,27,14,6,12,カガトゥインクル,2015103685,岩部純二,00726,萱野浩二,01024,432,-4,1:31.6,3-3,43.0,304.3,15
201805010101,dirt,1400,sunny,good,2018,1,27,15,5,9,ニシノステップ,2015105204,木幡初広,00629,杉浦宏昭,01008,450,+2,1:31.6,15-15,41.0,252.8,14
201805010101,dirt,1400,sunny,good,2018,1,27,16,3,5,ブラッチョ,2015103066,宮崎北斗,01118,青木孝文,01156,448,0,1:34.8,13-13,44.7,165.1,12
201805010102,dirt,2100,sunny,good,2018,1,27,1,6,12,ギャラルホルン,2015105104,ルメール,05339,高橋文雅,01134,530,0,2:14.8,2-2-1-1,38.7,1.4,1
201805010102,dirt,2100,sunny,good,2018,1,27,2,3,6,シャイニーロケット,2015102242,吉田隼人,01095,尾形充弘,00349,458,-2,2:15.2,8-8-7-3,38.7,9.9,3
201805010102,dirt,2100,sunny,good,2018,1,27,3,5,9,セイカメテオライト,2015100289,津村明秀,01092,相沢郁,01020,454,-6,2:17.0,7-7-4-3,40.5,31.4,7
201805010102,dirt,2100,sunny,good,2018,1,27,4,5,10,ショウナンガレオン,2015105845,北村宏司,01043,大竹正博,01102,500,-4,2:17.6,5-5-4-3,41.2,13.7,6
201805010102,dirt,2100,sunny,good,2018,1,27,5,7,13,アルマライル,2015106049,柴田大知,01009,伊藤大士,01109,502,-4,2:17.6,10-10-9-6,40.7,37.1,8
201805010102,dirt,2100,sunny,good,2018,1,27,6,7,14,オーネットヒーロー,2015101974,松岡正海,01085,中舘英二,01153,526,+4,2:18.5,11-11-10-9,40.7,233.2,13
201805010102,dirt,2100,sunny,good,2018,1,27,7,2,4,トサイチ,2015101888,丹内祐次,01091,小桧山悟,01005,458,+2,2:18.6,14-14-12-11,40.1,336.1,15
201805010102,dirt,2100,sunny,good,2018,1,27,8,6,11,ニシノラヴコール,2015101782,内田博幸,00422,尾形充弘,00349,440,0,2:18.6,4-3-2-2,42.4,8.5,2
201805010102,dirt,2100,sunny,good,2018,1,27,9,4,7,コウセイゲキソウ,2015100907,武藤雅,01169,中野栄治,01010,494,+10,2:18.9,11-13-10-8,41.6,61.6,10
201805010102,dirt,2100,sunny,good,2018,1,27,10,8,16,エンパイヤアーサー,2015103500,柴山雄一,05243,黒岩陽一,01133,520,-4,2:19.5,15-15-15-14,40.4,39.8,9
201805010102,dirt,2100,sunny,good,2018,1,27,11,1,2,ディナミーデン,2015102857,野中悠太,01158,田島俊明,01112,460,+4,2:21.3,2-3-4-7,44.2,13.0,5
201805010102,dirt,2100,sunny,good,2018,1,27,12,4,8,ロンサムジョージ,2015100334,武士沢友,01029,和田正一,01114,492,-16,2:21.9,11-11-12-12,43.1,338.1,16
201805010102,dirt,2100,sunny,good,2018,1,27,13,3,5,スカルダイヤモンド,2015104844,松田大作,01030,武井亮,01147,450,-2,2:24.0,5-5-8-12,45.2,12.3,4
201805010102,dirt,2100,sunny,good,2018,1,27,14,8,15,フライトレーダー,2015100229,宮崎北斗,01118,高橋裕,00412,530,0,2:26.1,1-1-2-9,48.4,313.6,14
